# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1699334495.350462198257446,0.01264,0.00029,0.00200,0.00000,0.00075,0.00199,0.01767
1699334495.417209625244141,0.01037,0.00037,0.00075,0.00007,0.00093,0.00278,0.01528
1699334495.483956813812256,0.00922,0.00055,0.00175,0.00004,0.00048,0.00177,0.01381
1699334495.550703763961792,0.00810,0.00061,0.00104,0.00000,0.00026,0.00213,0.01216
1699334495.617451190948486,0.01180,0.00030,0.00085,0.00000,0.00000,0.00124,0.01419
1699334495.684198379516602,0.00561,0.00029,0.00055,0.00000,0.00014,0.00189,0.00847
1699334495.750945568084717,0.01201,0.00031,0.00131,0.00000,0.00069,0.00222,0.01654
1699334495.817692756652832,0.00937,0.00033,0.00102,0.00000,0.00057,0.00226,0.01354
1699334495.884439945220947,0.01220,0.00028,0.00163,0.00000,0.00111,0.00189,0.01711
1699334495.951186895370483,0.01130,0.00031,0.00104,0.00000,0.00000,0.00153,0.01418
1699334496.017934083938599,0.00985,0.00060,0.00187,0.00000,0.00003,0.00177,0.01413
1699334496.084681272506714,0.00418,0.00028,0.00097,0.00000,0.00072,0.00175,0.00791
1699334496.151428461074829,0.01153,0.00031,0.00209,0.00000,0.00087,0.00209,0.01690
1699334496.218175888061523,0.01229,0.00032,0.00117,0.00000,0.00147,0.00196,0.01722
1699334496.284924507141113,0.01212,0.00025,0.00126,0.00000,0.00000,0.00161,0.01524
1699334496.351672410964966,0.01512,0.00038,0.00139,0.00000,0.00250,0.00120,0.02059
1699334496.418420791625977,0.01202,0.00036,0.00123,0.00000,0.00043,0.00219,0.01623
1699334496.485168933868408,0.01081,0.00034,0.00095,0.00000,0.00012,0.00212,0.01434
1699334496.551917076110840,0.00849,0.00034,0.00049,0.00000,0.00006,0.00240,0.01179
1699334496.618665218353271,0.01393,0.00024,0.00067,0.00000,0.00023,0.00144,0.01651
1699334496.685413599014282,0.01605,0.00046,0.00170,0.00000,0.00159,0.00142,0.02122
1699334496.752161741256714,0.00729,0.00028,0.00173,0.00000,0.00000,0.00279,0.01210
1699334496.818909883499146,0.00919,0.00026,0.00031,0.00000,0.00000,0.00151,0.01127
1699334496.885658025741577,0.01380,0.00026,0.00049,0.00000,0.00006,0.00156,0.01618
1699334496.952406644821167,0.01264,0.00031,0.00066,0.00000,0.00029,0.00210,0.01600
1699334497.019154548645020,0.00720,0.00033,0.00047,0.00000,0.00105,0.00242,0.01147
1699334497.085902929306030,0.00829,0.00036,0.00028,0.00000,0.00231,0.00160,0.01285
1699334497.152651071548462,0.01151,0.00029,0.00018,0.00000,0.00221,0.00203,0.01623
