# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1700030428.954832315444946,0.01068,0.00048,0.00107,0.00006,0.00051,0.00112,0.01392
1700030429.021302938461304,0.00545,0.00030,0.00082,0.00005,0.00007,0.00224,0.00893
1700030429.087770700454712,0.00830,0.00023,0.00047,0.00000,0.00020,0.00175,0.01096
1700030429.154234170913696,0.00497,0.00031,0.00024,0.00000,0.00513,0.00187,0.01252
1700030429.220695495605469,0.00650,0.00037,0.00092,0.00027,0.00000,0.00281,0.01087
1700030429.287169218063354,0.00847,0.00036,0.00028,0.00031,0.00014,0.00179,0.01136
1700030429.353912830352783,0.00845,0.00038,0.00046,0.00011,0.00008,0.00161,0.01111
1700030429.420545816421509,0.00883,0.00027,0.00020,0.00012,0.00031,0.00213,0.01186
1700030429.487182855606079,0.00424,0.00024,0.00006,0.00014,0.00088,0.00205,0.00761
1700030429.553823709487915,0.00889,0.00048,0.00139,0.00013,0.00167,0.00141,0.01398
1700030429.620467662811279,0.00857,0.00024,0.00197,0.00010,0.00023,0.00158,0.01268
1700030429.687116861343384,0.00903,0.00022,0.00044,0.00009,0.00089,0.00181,0.01247
1700030429.753770351409912,0.00406,0.00023,0.00088,0.00009,0.00058,0.00176,0.00761
1700030429.820427417755127,0.00725,0.00023,0.00082,0.00003,0.00347,0.00182,0.01362
1700030429.887088775634766,0.00930,0.00022,0.00049,0.00006,0.00018,0.00178,0.01203
1700030429.953754425048828,0.00685,0.00040,0.00017,0.00008,0.00323,0.00149,0.01222
1700030430.020423889160156,0.00930,0.00027,0.00014,0.00006,0.00119,0.00201,0.01297
1700030430.087096452713013,0.00827,0.00048,0.00036,0.00062,0.00029,0.00154,0.01157
1700030430.153774261474609,0.00747,0.00031,0.00189,0.00012,0.00438,0.00216,0.01632
1700030430.220455884933472,0.00951,0.00042,0.00038,0.00034,0.00045,0.00177,0.01287
1700030430.287002086639404,0.00551,0.00034,0.00043,0.00027,0.00082,0.00185,0.00921
1700030430.353129148483276,0.00530,0.00033,0.00067,0.00040,0.00090,0.00349,0.01109
1700030430.419414758682251,0.00772,0.00024,0.00061,0.00006,0.00161,0.00193,0.01216
1700030430.485694169998169,0.00854,0.00049,0.00070,0.00017,0.00055,0.00226,0.01270
1700030430.551969289779663,0.00825,0.00038,0.00032,0.00016,0.00051,0.00178,0.01140
1700030430.618238925933838,0.00799,0.00036,0.00032,0.00010,0.00009,0.00183,0.01069
1700030430.684503555297852,0.00810,0.00028,0.00083,0.00011,0.00000,0.00201,0.01133
1700030430.750762939453125,0.00768,0.00044,0.00138,0.00006,0.00211,0.00146,0.01314
1700030430.817016839981079,0.01032,0.00042,0.00006,0.00000,0.00029,0.00180,0.01290
1700030430.883265733718872,0.00739,0.00026,0.00031,0.00000,0.00032,0.00222,0.01051
1700030430.949508190155029,0.00705,0.00033,0.00092,0.00000,0.00134,0.00257,0.01222
1700030431.015746593475342,0.00763,0.00032,0.00057,0.00000,0.00068,0.00232,0.01151
1700030431.081979513168335,0.00913,0.00030,0.00032,0.00000,0.00093,0.00166,0.01236
